0130240000,2.053,[]
0130240001,0.13,['IT', 'EC', 'EA']
0130250000,7.183,[]
0130260000,22611312000000.0,['EC']
0130260001,6.3452,['EC']
0130270000,Inf,None
0130280000,134.484,['B-']
0130290000,393.59999999999997,['B-']
0130300000,3.62,['B-']
0130310000,0.644,['B-']
0130320000,0.033,['B-']
0130330000,0.0417,['B-', 'BN']
0130340000,0.042,['B-', 'BN']
0130350000,0.0386,['B-', 'BN']
0130360000,0.09,['B-', 'BN']
0130370000,0.0107,['B-']
0130380000,0.0076,[]
0130390000,7.599999999999999e-06,[]
0130400000,2.6e-07,[]
0130410000,2.6e-07,['B-']
0130420000,1.7000000000000001e-07,[]
0140220000,0.029,['EC', 'EP']
0140230000,0.0423,['EC', 'EP', 'P']
0140240000,0.14,['EC', 'EP']
0140250000,0.22,['EC']
0140260000,2.234,[]
0140270000,4.16,['EC']
0140280000,Inf,None
0140290000,Inf,None
0140300000,Inf,None
0140310000,9438.0,['B-']
0140320000,4825008000.0,['B-']
0140330000,6.11,['B-']
0140340000,2.77,['B-']
0140350000,0.78,['B-']
0140360000,0.45,['B-', 'BN']
0140370000,0.09,['B-', 'BN']
0140380000,1e-06,[]
0140390000,0.0475,[]
0140400000,0.033,[]
0140410000,0.02,[]
0140420000,0.0125,['B-']
0140430000,6.000000000000001e-08,[]
0140440000,3.6000000000000005e-07,[]
0150240000,None,[]
0150250000,3.0000000000000004e-08,[]
0150260000,0.0437,['EC']
0150270000,0.26,['EC', 'EP']
0150280000,0.27030000000000004,[]
0150290000,4.142,[]
0150300000,149.88000000000002,[]
0150310000,Inf,None
0150320000,1232323.2,['B-']
0150330000,2189376.0,['B-']
0150340000,12.43,['B-']
0150350000,47.3,['B-']
0150360000,5.6,['B-']
0150370000,2.31,['B-']
0150380000,0.64,['B-', 'BN']
0150390000,0.28,['B-', 'BN']
0150400000,0.125,['B-', 'BN']
0150410000,0.1,['B-', 'BN']
0150420000,0.0485,['B-', 'BN']
0150430000,0.0365,['B-', 'BN']
0150440000,0.0185,[]
0150450000,2.0000000000000002e-07,['B-']
0150460000,2.0000000000000002e-07,['B-']
0160260000,0.01,[]
0160270000,0.0155,['EC', 'EP', 'P']
0160280000,0.125,['EC', 'EP']
0160290000,0.187,['EC', 'EP']
0160300000,1.178,[]
0160310000,2.572,[]
0160320000,Inf,None
0160330000,Inf,None
0160340000,Inf,None
0160350000,7560864.0,['B-']
0160360000,Inf,None
0160370000,303.0,['B-']
0160380000,10218.0,['B-']
0160390000,11.5,['B-']
0160400000,8.8,['B-']
0160410000,1.99,['B-']
0160420000,1.013,['B-']
0160430000,0.28,['B-', 'BN']
0160440000,0.1,['B-', 'BN']
0160450000,0.068,['B-', 'BN']
0160460000,0.05,['B-']
0160480000,2.0000000000000002e-07,['B-']
0160490000,2.0000000000000002e-07,[]
0170280000,None,[]
0170290000,2e-08,[]
0170300000,3.0000000000000004e-08,[]
0170310000,0.15,['EC', 'EP']
0170320000,0.298,['EC', 'EA', 'EP']
0170330000,2.511,['EC']
0170340000,1.5264,['EC']
0170340001,1920.0,[]
0170350000,Inf,None
0170360000,9492336000000.0,[]
0170370000,Inf,None
0170380000,2233.7999999999997,['B-']
0170380001,0.715,['IT']
0170390000,3336.0,['B-']
0170400000,81.0,['B-']
0170410000,38.4,['B-']
0170420000,6.8,['B-']
0170430000,3.13,['B-']
0170440000,0.56,['B-', 'BN']
0170450000,0.41300000000000003,['B-', 'BN']
0170460000,0.232,['B-', 'BN']
0170470000,0.101,['B-', 'BN']
0170480000,2.0000000000000002e-07,['B-']
0170490000,1.7000000000000001e-07,['B-']
0170500000,0.02,[]
0170510000,2.0000000000000002e-07,['B-']
0180300000,2e-08,[]
0180310000,0.0151,['EC', 'EP', 'P']
0180320000,0.098,['EC', 'EP']
0180330000,0.17300000000000001,['EC', 'EP']
0180340000,0.8445,['EC']
0180350000,1.775,['EC']
0180360000,Inf,None
0180370000,3027456.0,['EC']
0180380000,Inf,None
0180390000,8483184000.0,['B-']
0180400000,Inf,None
0180410000,6576.6,['B-']
0180420000,1037534400.0,['B-']
0180430000,322.2,['B-']
